user_id,segment,points_balance
u00001,new,132
u00002,new,136
u00003,new,0
u00004,new,69
u00005,new,42
u00006,new,81
u00007,new,7
u00008,new,20
u00009,new,83
u00010,new,79
u00011,new,163
u00012,new,92
u00013,new,165
u00014,new,158
u00015,new,148
u00016,new,0
u00017,new,33
u00018,new,107
u00019,new,0
u00020,new,48
u00021,new,120
u00022,new,82
u00023,new,59
u00024,new,183
u00025,new,54
u00026,new,146
u00027,new,77
u00028,new,85
u00029,new,58
u00030,new,29
u00031,new,66
u00032,new,0
u00033,new,116
u00034,new,86
u00035,new,53
u00036,new,127
u00037,new,17
u00038,new,0
u00039,new,105
u00040,new,0
u00041,new,0
u00042,new,89
u00043,new,137
u00044,new,33
u00045,new,26
u00046,new,170
u00047,new,0
u00048,new,130
u00049,new,105
u00050,new,36
u00051,new,71
u00052,new,28
u00053,new,40
u00054,new,70
u00055,new,37
u00056,new,0
u00057,new,122
u00058,new,43
u00059,new,127
u00060,new,70
u00061,new,248
u00062,new,113
u00063,new,0
u00064,new,0
u00065,new,26
u00066,new,54
u00067,new,0
u00068,new,12
u00069,new,80
u00070,new,0
u00071,new,74
u00072,new,93
u00073,new,19
u00074,new,116
u00075,new,85
u00076,new,145
u00077,new,119
u00078,new,67
u00079,new,70
u00080,new,107
u00081,new,102
u00082,new,0
u00083,new,135
u00084,new,46
u00085,new,148
u00086,new,90
u00087,new,41
u00088,new,79
u00089,new,166
u00090,new,35
u00091,new,0
u00092,new,64
u00093,new,155
u00094,new,175
u00095,new,141
u00096,new,0
u00097,new,65
u00098,new,51
u00099,new,69
u00100,new,14
u00101,new,63
u00102,new,8
u00103,new,219
u00104,new,83
u00105,new,48
u00106,new,5
u00107,new,137
u00108,new,115
u00109,new,149
u00110,new,100
u00111,new,51
u00112,new,36
u00113,new,34
u00114,new,55
u00115,new,121
u00116,new,46
u00117,new,97
u00118,new,125
u00119,new,52
u00120,new,138
u00121,new,105
u00122,new,102
u00123,new,78
u00124,new,90
u00125,new,28
u00126,new,29
u00127,new,95
u00128,new,133
u00129,new,66
u00130,new,110
u00131,new,66
u00132,new,33
u00133,new,80
u00134,new,103
u00135,new,38
u00136,new,44
u00137,new,50
u00138,new,90
u00139,new,0
u00140,new,96
u00141,new,95
u00142,new,92
u00143,new,46
u00144,new,96
u00145,new,13
u00146,new,34
u00147,new,127
u00148,new,0
u00149,new,41
u00150,new,45
u00151,new,118
u00152,new,0
u00153,new,44
u00154,new,14
u00155,new,179
u00156,new,63
u00157,new,48
u00158,new,86
u00159,new,131
u00160,new,0
u00161,new,15
u00162,new,93
u00163,new,42
u00164,new,0
u00165,new,37
u00166,new,89
u00167,new,99
u00168,new,197
u00169,new,0
u00170,new,0
u00171,new,7
u00172,new,138
u00173,new,26
u00174,new,0
u00175,new,128
u00176,new,35
u00177,new,146
u00178,new,92
u00179,new,40
u00180,new,133
u00181,new,128
u00182,new,170
u00183,new,55
u00184,new,60
u00185,new,168
u00186,new,146
u00187,new,95
u00188,new,28
u00189,new,17
u00190,new,0
u00191,new,20
u00192,new,67
u00193,new,8
u00194,new,123
u00195,new,0
u00196,new,31
u00197,new,39
u00198,new,116
u00199,new,111
u00200,new,6
u00201,new,93
u00202,new,17
u00203,new,97
u00204,new,6
u00205,new,87
u00206,new,168
u00207,new,202
u00208,new,145
u00209,new,18
u00210,new,48
u00211,new,24
u00212,new,43
u00213,new,0
u00214,new,42
u00215,new,147
u00216,new,214
u00217,new,106
u00218,new,92
u00219,new,120
u00220,new,0
u00221,new,29
u00222,new,128
u00223,new,66
u00224,new,57
u00225,new,131
u00226,new,0
u00227,new,150
u00228,new,31
u00229,new,113
u00230,new,80
u00231,new,123
u00232,new,139
u00233,new,19
u00234,new,130
u00235,new,110
u00236,new,165
u00237,new,48
u00238,new,151
u00239,new,123
u00240,new,53
u00241,new,140
u00242,new,57
u00243,new,134
u00244,new,73
u00245,new,86
u00246,new,84
u00247,new,140
u00248,new,74
u00249,new,114
u00250,new,115
u00251,new,28
u00252,new,135
u00253,new,168
u00254,new,110
u00255,new,104
u00256,new,28
u00257,new,157
u00258,new,0
u00259,new,88
u00260,new,172
u00261,new,38
u00262,new,112
u00263,new,36
u00264,new,119
u00265,new,0
u00266,new,55
u00267,new,41
u00268,new,86
u00269,new,0
u00270,new,170
u00271,new,98
u00272,new,50
u00273,new,169
u00274,new,78
u00275,new,95
u00276,new,97
u00277,new,175
u00278,new,89
u00279,new,15
u00280,new,85
u00281,new,105
u00282,new,78
u00283,new,41
u00284,new,31
u00285,new,0
u00286,new,108
u00287,new,29
u00288,new,41
u00289,new,110
u00290,new,144
u00291,new,17
u00292,new,58
u00293,new,56
u00294,new,110
u00295,new,17
u00296,new,31
u00297,new,105
u00298,new,43
u00299,new,18
u00300,new,79
u00301,new,25
u00302,new,63
u00303,new,157
u00304,new,69
u00305,new,71
u00306,new,51
u00307,new,0
u00308,new,90
u00309,new,141
u00310,new,155
u00311,new,251
u00312,new,62
u00313,new,92
u00314,new,13
u00315,new,191
u00316,new,139
u00317,new,137
u00318,new,115
u00319,new,72
u00320,new,0
u00321,new,155
u00322,new,120
u00323,new,95
u00324,new,30
u00325,new,132
u00326,new,97
u00327,new,92
u00328,new,13
u00329,new,12
u00330,new,74
u00331,new,73
u00332,new,17
u00333,new,184
u00334,new,53
u00335,new,76
u00336,new,95
u00337,new,168
u00338,new,33
u00339,new,68
u00340,new,3
u00341,new,142
u00342,new,105
u00343,new,89
u00344,new,97
u00345,new,188
u00346,new,73
u00347,new,44
u00348,new,45
u00349,new,141
u00350,new,115
u00351,new,108
u00352,new,41
u00353,new,112
u00354,new,116
u00355,new,86
u00356,new,72
u00357,new,108
u00358,new,103
u00359,new,51
u00360,new,61
u00361,new,0
u00362,new,115
u00363,new,73
u00364,new,172
u00365,new,0
u00366,new,90
u00367,new,115
u00368,new,38
u00369,new,108
u00370,new,96
u00371,new,111
u00372,new,66
u00373,new,0
u00374,new,84
u00375,new,85
u00376,new,36
u00377,new,0
u00378,new,111
u00379,new,103
u00380,new,174
u00381,new,31
u00382,new,151
u00383,new,81
u00384,new,50
u00385,new,109
u00386,new,132
u00387,new,48
u00388,new,174
u00389,new,81
u00390,new,6
u00391,new,11
u00392,new,144
u00393,new,46
u00394,new,85
u00395,new,86
u00396,new,73
u00397,new,138
u00398,new,51
u00399,new,13
u00400,new,0
u00401,new,72
u00402,new,64
u00403,new,154
u00404,new,37
u00405,new,141
u00406,new,62
u00407,new,183
u00408,new,21
u00409,new,55
u00410,new,120
u00411,new,151
u00412,new,130
u00413,new,0
u00414,new,145
u00415,new,79
u00416,new,0
u00417,new,46
u00418,new,59
u00419,new,32
u00420,new,158
u00421,new,112
u00422,new,148
u00423,new,27
u00424,new,0
u00425,new,107
u00426,new,82
u00427,new,131
u00428,new,119
u00429,new,89
u00430,new,128
u00431,new,84
u00432,new,92
u00433,new,198
u00434,new,157
u00435,new,16
u00436,new,0
u00437,new,161
u00438,new,53
u00439,new,72
u00440,new,50
u00441,new,99
u00442,new,55
u00443,new,8
u00444,new,0
u00445,new,0
u00446,new,16
u00447,new,153
u00448,new,23
u00449,new,78
u00450,new,147
u00451,new,158
u00452,new,46
u00453,new,122
u00454,new,57
u00455,new,0
u00456,new,137
u00457,new,86
u00458,new,27
u00459,new,92
u00460,new,100
u00461,new,89
u00462,new,21
u00463,new,69
u00464,new,98
u00465,new,125
u00466,new,67
u00467,new,15
u00468,new,105
u00469,new,154
u00470,new,44
u00471,new,110
u00472,new,142
u00473,new,143
u00474,new,160
u00475,new,97
u00476,new,164
u00477,new,161
u00478,new,30
u00479,new,98
u00480,new,94
u00481,new,38
u00482,new,60
u00483,new,0
u00484,new,122
u00485,new,130
u00486,new,149
u00487,new,160
u00488,new,43
u00489,new,70
u00490,new,172
u00491,new,144
u00492,new,35
u00493,new,0
u00494,new,66
u00495,new,15
u00496,new,83
u00497,new,138
u00498,new,0
u00499,new,96
u00500,new,7
u00501,new,228
u00502,new,83
u00503,new,108
u00504,new,17
u00505,new,0
u00506,new,22
u00507,new,22
u00508,new,150
u00509,new,11
u00510,new,129
u00511,new,105
u00512,new,73
u00513,new,0
u00514,new,47
u00515,new,138
u00516,new,112
u00517,new,88
u00518,new,0
u00519,new,87
u00520,new,95
u00521,new,50
u00522,new,105
u00523,new,37
u00524,new,0
u00525,new,41
u00526,new,38
u00527,new,153
u00528,new,123
u00529,new,76
u00530,new,47
u00531,new,113
u00532,new,169
u00533,new,21
u00534,new,41
u00535,new,149
u00536,new,108
u00537,new,53
u00538,new,149
u00539,new,113
u00540,new,23
u00541,new,96
u00542,new,79
u00543,new,179
u00544,new,116
u00545,new,109
u00546,new,87
u00547,new,111
u00548,new,0
u00549,new,0
u00550,new,103
u00551,new,103
u00552,new,55
u00553,new,0
u00554,new,14
u00555,new,112
u00556,new,87
u00557,new,41
u00558,new,24
u00559,new,95
u00560,new,70
u00561,new,70
u00562,new,49
u00563,new,89
u00564,new,96
u00565,new,42
u00566,new,179
u00567,new,44
u00568,new,89
u00569,new,0
u00570,new,20
u00571,new,135
u00572,new,123
u00573,new,92
u00574,new,39
u00575,new,101
u00576,new,20
u00577,new,144
u00578,new,0
u00579,new,56
u00580,new,32
u00581,new,157
u00582,new,68
u00583,new,154
u00584,new,166
u00585,new,107
u00586,new,0
u00587,new,34
u00588,new,50
u00589,new,104
u00590,new,102
u00591,new,0
u00592,new,127
u00593,new,19
u00594,new,58
u00595,new,95
u00596,new,72
u00597,new,174
u00598,new,148
u00599,new,0
u00600,new,12
u00601,new,148
u00602,new,86
u00603,new,117
u00604,new,81
u00605,new,153
u00606,new,126
u00607,new,127
u00608,new,39
u00609,new,116
u00610,new,0
u00611,new,65
u00612,new,41
u00613,new,33
u00614,new,23
u00615,new,0
u00616,new,154
u00617,new,67
u00618,new,69
u00619,new,110
u00620,new,143
u00621,new,160
u00622,new,54
u00623,new,91
u00624,new,25
u00625,new,123
u00626,new,81
u00627,new,134
u00628,new,129
u00629,new,126
u00630,new,112
u00631,new,85
u00632,new,5
u00633,new,99
u00634,new,181
u00635,new,53
u00636,new,39
u00637,new,117
u00638,new,180
u00639,new,17
u00640,new,0
u00641,new,43
u00642,new,85
u00643,new,71
u00644,new,64
u00645,new,49
u00646,new,41
u00647,new,30
u00648,new,101
u00649,new,114
u00650,new,0
u00651,new,174
u00652,new,106
u00653,new,113
u00654,new,63
u00655,new,95
u00656,new,12
u00657,new,175
u00658,new,164
u00659,new,65
u00660,new,0
u00661,new,61
u00662,new,115
u00663,new,56
u00664,new,32
u00665,new,89
u00666,new,27
u00667,new,160
u00668,new,136
u00669,new,119
u00670,new,37
u00671,new,92
u00672,new,146
u00673,new,0
u00674,new,92
u00675,new,164
u00676,new,188
u00677,new,22
u00678,new,96
u00679,new,142
u00680,new,152
u00681,new,0
u00682,new,0
u00683,new,89
u00684,new,109
u00685,new,72
u00686,new,60
u00687,new,156
u00688,new,168
u00689,new,44
u00690,new,89
u00691,new,10
u00692,new,184
u00693,new,0
u00694,new,15
u00695,new,26
u00696,new,17
u00697,new,156
u00698,new,219
u00699,new,95
u00700,new,59
u00701,new,123
u00702,new,25
u00703,new,160
u00704,new,77
u00705,new,105
u00706,new,38
u00707,new,67
u00708,new,0
u00709,new,81
u00710,new,133
u00711,new,0
u00712,new,19
u00713,new,51
u00714,new,61
u00715,new,74
u00716,new,77
u00717,new,97
u00718,new,77
u00719,new,0
u00720,new,98
u00721,new,152
u00722,new,95
u00723,new,0
u00724,new,93
u00725,new,108
u00726,new,20
u00727,new,84
u00728,new,156
u00729,new,177
u00730,new,87
u00731,new,110
u00732,new,70
u00733,new,55
u00734,new,163
u00735,new,137
u00736,new,117
u00737,new,48
u00738,new,168
u00739,new,142
u00740,new,2
u00741,new,145
u00742,new,90
u00743,new,96
u00744,new,0
u00745,new,0
u00746,new,139
u00747,new,33
u00748,new,128
u00749,new,0
u00750,new,0
u00751,new,194
u00752,new,134
u00753,new,72
u00754,new,93
u00755,new,37
u00756,new,101
u00757,new,150
u00758,new,55
u00759,new,109
u00760,new,0
u00761,new,188
u00762,new,140
u00763,new,78
u00764,new,59
u00765,new,164
u00766,new,49
u00767,new,102
u00768,new,61
u00769,new,24
u00770,new,142
u00771,new,55
u00772,new,107
u00773,new,59
u00774,new,71
u00775,new,69
u00776,new,40
u00777,new,123
u00778,new,74
u00779,new,131
u00780,new,124
u00781,new,153
u00782,new,50
u00783,new,119
u00784,new,69
u00785,new,78
u00786,new,37
u00787,new,51
u00788,new,117
u00789,new,59
u00790,new,36
u00791,new,130
u00792,new,101
u00793,new,6
u00794,new,86
u00795,new,147
u00796,new,145
u00797,new,47
u00798,new,13
u00799,new,58
u00800,new,160
u00801,new,124
u00802,new,0
u00803,new,131
u00804,new,0
u00805,new,195
u00806,new,130
u00807,new,56
u00808,new,86
u00809,new,119
u00810,new,50
u00811,new,107
u00812,new,72
u00813,new,64
u00814,new,171
u00815,new,0
u00816,new,82
u00817,new,0
u00818,new,69
u00819,new,37
u00820,new,232
u00821,new,49
u00822,new,71
u00823,new,42
u00824,new,133
u00825,new,49
u00826,new,40
u00827,new,192
u00828,new,126
u00829,new,96
u00830,new,224
u00831,new,42
u00832,new,31
u00833,new,32
u00834,new,152
u00835,new,42
u00836,new,151
u00837,new,42
u00838,new,0
u00839,new,31
u00840,new,97
u00841,new,151
u00842,new,158
u00843,new,101
u00844,new,121
u00845,new,0
u00846,new,95
u00847,new,82
u00848,new,61
u00849,new,40
u00850,new,132
u00851,new,148
u00852,new,197
u00853,new,68
u00854,new,32
u00855,new,193
u00856,new,60
u00857,new,48
u00858,new,0
u00859,new,105
u00860,new,116
u00861,new,130
u00862,new,93
u00863,new,112
u00864,new,113
u00865,new,110
u00866,new,150
u00867,new,131
u00868,new,91
u00869,new,47
u00870,new,128
u00871,new,45
u00872,new,71
u00873,new,37
u00874,new,207
u00875,new,21
u00876,new,119
u00877,new,120
u00878,new,132
u00879,new,77
u00880,new,85
u00881,new,68
u00882,new,0
u00883,new,34
u00884,new,161
u00885,new,31
u00886,new,88
u00887,new,238
u00888,new,21
u00889,new,49
u00890,new,64
u00891,new,0
u00892,new,27
u00893,new,0
u00894,new,112
u00895,new,65
u00896,new,0
u00897,new,128
u00898,new,138
u00899,new,58
u00900,new,136
u00901,new,115
u00902,new,25
u00903,new,96
u00904,new,91
u00905,new,29
u00906,new,18
u00907,new,104
u00908,new,218
u00909,new,77
u00910,new,92
u00911,new,16
u00912,new,64
u00913,new,67
u00914,new,57
u00915,new,40
u00916,new,77
u00917,new,46
u00918,new,154
u00919,new,202
u00920,new,34
u00921,new,58
u00922,new,106
u00923,new,114
u00924,new,34
u00925,new,45
u00926,new,115
u00927,new,0
u00928,new,212
u00929,new,98
u00930,new,61
u00931,new,70
u00932,new,15
u00933,new,188
u00934,new,74
u00935,new,53
u00936,new,185
u00937,new,141
u00938,new,68
u00939,new,106
u00940,new,60
u00941,new,58
u00942,new,66
u00943,new,97
u00944,new,145
u00945,new,198
u00946,new,0
u00947,new,219
u00948,new,141
u00949,new,80
u00950,new,54
u00951,new,0
u00952,new,151
u00953,new,14
u00954,new,119
u00955,new,55
u00956,new,0
u00957,new,105
u00958,new,109
u00959,new,23
u00960,new,131
u00961,new,188
u00962,new,109
u00963,new,105
u00964,new,35
u00965,new,17
u00966,new,55
u00967,new,84
u00968,new,80
u00969,new,68
u00970,new,229
u00971,new,114
u00972,new,21
u00973,new,7
u00974,new,0
u00975,new,19
u00976,new,114
u00977,new,62
u00978,new,38
u00979,new,115
u00980,new,112
u00981,new,102
u00982,new,79
u00983,new,77
u00984,new,0
u00985,new,0
u00986,new,31
u00987,new,32
u00988,new,30
u00989,new,69
u00990,new,51
u00991,new,1
u00992,new,73
u00993,new,100
u00994,new,50
u00995,new,129
u00996,new,98
u00997,new,103
u00998,new,57
u00999,new,104
u01000,new,120
u01001,new,0
u01002,new,144
u01003,new,49
u01004,new,119
u01005,new,0
u01006,new,53
u01007,new,0
u01008,new,71
u01009,new,90
u01010,new,104
u01011,new,81
u01012,new,4
u01013,new,158
u01014,new,0
u01015,new,59
u01016,new,33
u01017,new,43
u01018,new,0
u01019,new,145
u01020,new,124
u01021,new,84
u01022,new,71
u01023,new,22
u01024,new,73
u01025,new,25
u01026,new,85
u01027,new,103
u01028,new,65
u01029,new,103
u01030,new,115
u01031,new,128
u01032,new,198
u01033,new,0
u01034,new,5
u01035,new,7
u01036,new,68
u01037,new,0
u01038,new,48
u01039,new,130
u01040,new,123
u01041,new,178
u01042,new,131
u01043,new,140
u01044,new,48
u01045,new,58
u01046,new,132
u01047,new,131
u01048,new,0
u01049,new,0
u01050,new,21
u01051,new,28
u01052,new,159
u01053,new,188
u01054,new,99
u01055,new,100
u01056,new,196
u01057,new,106
u01058,new,113
u01059,new,102
u01060,new,102
u01061,new,160
u01062,new,123
u01063,new,85
u01064,new,56
u01065,new,95
u01066,new,0
u01067,new,107
u01068,new,87
u01069,new,99
u01070,new,10
u01071,new,108
u01072,new,90
u01073,new,79
u01074,new,102
u01075,new,30
u01076,new,0
u01077,new,107
u01078,new,0
u01079,new,115
u01080,new,204
u01081,new,102
u01082,new,131
u01083,new,177
u01084,new,142
u01085,new,216
u01086,new,27
u01087,new,59
u01088,new,108
u01089,new,0
u01090,new,79
u01091,new,84
u01092,new,157
u01093,new,144
u01094,new,125
u01095,new,121
u01096,new,83
u01097,new,97
u01098,new,125
u01099,new,140
u01100,new,36
u01101,new,106
u01102,new,75
u01103,new,95
u01104,new,149
u01105,new,64
u01106,new,24
u01107,new,25
u01108,new,45
u01109,new,116
u01110,new,70
u01111,new,44
u01112,new,126
u01113,new,89
u01114,new,122
u01115,new,211
u01116,new,192
u01117,new,100
u01118,new,100
u01119,new,146
u01120,new,156
u01121,new,58
u01122,new,6
u01123,new,131
u01124,new,93
u01125,new,116
u01126,new,112
u01127,new,38
u01128,new,49
u01129,new,144
u01130,new,70
u01131,new,33
u01132,new,63
u01133,new,103
u01134,new,49
u01135,new,184
u01136,new,128
u01137,new,0
u01138,new,93
u01139,new,174
u01140,new,277
u01141,new,51
u01142,new,81
u01143,new,0
u01144,new,113
u01145,new,108
u01146,new,96
u01147,new,14
u01148,new,126
u01149,new,189
u01150,new,161
u01151,new,101
u01152,new,76
u01153,new,133
u01154,new,71
u01155,new,0
u01156,new,0
u01157,new,162
u01158,new,159
u01159,new,72
u01160,new,32
u01161,new,61
u01162,new,2
u01163,new,64
u01164,new,184
u01165,new,42
u01166,new,32
u01167,new,0
u01168,new,92
u01169,new,23
u01170,new,119
u01171,new,61
u01172,new,180
u01173,new,115
u01174,new,108
u01175,new,0
u01176,new,81
u01177,new,98
u01178,new,100
u01179,new,101
u01180,new,87
u01181,new,9
